ALGORITMA: Priority Non-Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P101]	1054,1		1055,1	1
[P104]	1055,1		1059,1	4
[P107]	1059,1		1066,1	7
[P110]	1066,1		1076,1	10
[P113]	1076,1		1089,1	13
[P116]	1089,1		1105,1	16
[P119]	1105,1		1124,1	19
[P122]	1124,1		1126,1	2
[P125]	1126,1		1131,1	5
[P128]	1131,1		1139,1	8
[P131]	1139,1		1150,1	11
[P134]	1150,1		1164,1	14
[P137]	1164,1		1181,1	17
[P140]	1181,1		1201,1	20
[P143]	1201,1		1204,1	3
[P146]	1204,1		1210,1	6
[P149]	1210,1		1219,1	9
[P152]	1219,1		1231,1	12
[P155]	1231,1		1246,1	15
[P158]	1246,1		1264,1	18
[P161]	1264,1		1265,1	1
[P164]	1265,1		1269,1	4
[P167]	1269,1		1276,1	7
[P170]	1276,1		1286,1	10
[P173]	1286,1		1299,1	13
[P176]	1299,1		1315,1	16
[P179]	1315,1		1334,1	19
[P182]	1334,1		1336,1	2
[P185]	1336,1		1341,1	5
[P188]	1341,1		1349,1	8
[P191]	1349,1		1360,1	11
[P194]	1360,1		1374,1	14
[P197]	1374,1		1391,1	17
[P200]	1391,1		1411,1	20
[P006]	1411,1		1417,1	6
[P009]	1417,1		1426,1	9
[P012]	1426,1		1438,1	12
[P015]	1438,1		1453,1	15
[P018]	1453,1		1471,1	18
[P021]	1471,1		1472,1	1
[P024]	1472,1		1476,1	4
[P027]	1476,1		1483,1	7
[P030]	1483,1		1493,1	10
[P033]	1493,1		1506,1	13
[P036]	1506,1		1522,1	16
[P039]	1522,1		1541,1	19
[P042]	1541,1		1543,1	2
[P045]	1543,1		1548,1	5
[P048]	1548,1		1556,1	8
[P051]	1556,1		1567,1	11
[P054]	1567,2		1581,2	14
[P057]	1581,2		1598,2	17
[P060]	1598,2		1618,2	20
[P063]	1618,2		1621,2	3
[P066]	1621,2		1627,2	6
[P069]	1627,2		1636,2	9
[P072]	1636,2		1648,2	12
[P075]	1648,2		1663,2	15
[P078]	1663,2		1681,2	18
[P081]	1681,2		1682,2	1
[P084]	1682,2		1686,2	4
[P087]	1686,2		1693,2	7
[P090]	1693,2		1703,2	10
[P093]	1703,2		1716,2	13
[P096]	1716,2		1732,2	16
[P099]	1732,2		1751,2	19
[P102]	1751,2		1753,2	2
[P105]	1753,2		1758,2	5
[P108]	1758,2		1766,2	8
[P111]	1766,2		1777,2	11
[P114]	1777,2		1791,2	14
[P117]	1791,2		1808,2	17
[P120]	1808,2		1828,2	20
[P123]	1828,2		1831,2	3
[P126]	1831,2		1837,2	6
[P129]	1837,2		1846,2	9
[P132]	1846,2		1858,2	12
[P135]	1858,2		1873,2	15
[P138]	1873,2		1891,2	18
[P141]	1891,2		1892,2	1
[P144]	1892,2		1896,2	4
[P147]	1896,2		1903,2	7
[P150]	1903,2		1913,2	10
[P153]	1913,2		1926,2	13
[P156]	1926,2		1942,2	16
[P159]	1942,2		1961,2	19
[P162]	1961,2		1963,2	2
[P165]	1963,2		1968,2	5
[P168]	1968,2		1976,2	8
[P171]	1976,2		1987,2	11
[P174]	1987,2		2001,2	14
[P177]	2001,2		2018,2	17
[P180]	2018,2		2038,2	20
[P183]	2038,2		2041,2	3
[P186]	2041,2		2047,2	6
[P189]	2047,2		2056,2	9
[P192]	2056,2		2068,2	12
[P195]	2068,2		2083,2	15
[P198]	2083,2		2101,2	18
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 824,8695, Max: 1689,1990
c) Turnaround Time (TAT) -> Ort: 835,3695, Max: 1707,1990
d) Throughput -> T=50:8, T=100:13, T=150:16, T=200:21
e) CPU Verimliligi: %99,93
f) Toplam Baglam Degistirme (CS): 199
