ALGORITMA: Priority Non-Preemptive
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P001]	0,0		1,0	1
[P002]	2,0		4,0	2
[P003]	4,0		7,0	3
[P004]	7,0		11,0	4
[P005]	11,0		16,0	5
[P007]	16,0		23,0	7
[P010]	23,0		33,0	10
[P013]	33,0		46,0	13
[P016]	46,0		62,0	16
[P019]	62,0		81,0	19
[P022]	81,0		83,0	2
[P025]	83,0		88,0	5
[P028]	88,0		96,0	8
[P031]	96,0		107,0	11
[P034]	107,0		121,0	14
[P037]	121,0		138,0	17
[P040]	138,0		158,0	20
[P043]	158,0		161,0	3
[P046]	161,0		167,0	6
[P049]	167,0		176,0	9
[P052]	176,0		188,0	12
[P055]	188,0		203,0	15
[P058]	203,0		221,0	18
[P061]	221,0		222,0	1
[P064]	222,0		226,0	4
[P067]	226,0		233,0	7
[P070]	233,0		243,0	10
[P073]	243,0		256,0	13
[P076]	256,0		272,0	16
[P079]	272,0		291,0	19
[P082]	291,0		293,0	2
[P085]	293,0		298,0	5
[P088]	298,0		306,0	8
[P091]	306,0		317,0	11
[P094]	317,0		331,0	14
[P097]	331,0		348,0	17
[P100]	348,0		368,0	20
[P103]	368,0		371,0	3
[P106]	371,0		377,0	6
[P109]	377,0		386,0	9
[P112]	386,0		398,0	12
[P115]	398,0		413,0	15
[P118]	413,0		431,0	18
[P121]	431,0		432,0	1
[P124]	432,0		436,0	4
[P127]	436,0		443,0	7
[P130]	443,0		453,0	10
[P133]	453,0		466,0	13
[P136]	466,0		482,0	16
[P139]	482,0		501,0	19
[P142]	501,0		503,0	2
[P145]	503,1		508,1	5
[P148]	508,1		516,1	8
[P151]	516,1		527,1	11
[P154]	527,1		541,1	14
[P157]	541,1		558,1	17
[P160]	558,1		578,1	20
[P163]	578,1		581,1	3
[P166]	581,1		587,1	6
[P169]	587,1		596,1	9
[P172]	596,1		608,1	12
[P175]	608,1		623,1	15
[P178]	623,1		641,1	18
[P181]	641,1		642,1	1
[P184]	642,1		646,1	4
[P187]	646,1		653,1	7
[P190]	653,1		663,1	10
[P193]	663,1		676,1	13
[P196]	676,1		692,1	16
[P199]	692,1		711,1	19
[P008]	711,1		719,1	8
[P011]	719,1		730,1	11
[P014]	730,1		744,1	14
[P017]	744,1		761,1	17
[P020]	761,1		781,1	20
[P023]	781,1		784,1	3
[P026]	784,1		790,1	6
[P029]	790,1		799,1	9
[P032]	799,1		811,1	12
[P035]	811,1		826,1	15
[P038]	826,1		844,1	18
[P041]	844,1		845,1	1
[P044]	845,1		849,1	4
[P047]	849,1		856,1	7
[P050]	856,1		866,1	10
[P053]	866,1		879,1	13
[P056]	879,1		895,1	16
[P059]	895,1		914,1	19
[P062]	914,1		916,1	2
[P065]	916,1		921,1	5
[P068]	921,1		929,1	8
[P071]	929,1		940,1	11
[P074]	940,1		954,1	14
[P077]	954,1		971,1	17
[P080]	971,1		991,1	20
[P083]	991,1		994,1	3
[P086]	994,1		1000,1	6
[P089]	1000,1		1009,1	9
[P092]	1009,1		1021,1	12
[P095]	1021,1		1036,1	15
[P098]	1036,1		1054,1	18
